ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"01","Agriculture","0100","General Agriculture","010000","General Agriculture",2019,"2019","01000US","United States",5,"Bachelors Degree",18,"general-agriculture-010000","Georgia","04000US13","georgia"
"01","Agriculture","0101","Agriculture Business & Management","010101","General Agriculture Management",2019,"2019","01000US","United States",5,"Bachelors Degree",19,"general-agriculture-management","Georgia","04000US13","georgia"
"01","Agriculture","0101","Agriculture Business & Management","010102","Agricultural Business Operations",2019,"2019","01000US","United States",5,"Bachelors Degree",55,"agricultural-business-operations","Georgia","04000US13","georgia"
"01","Agriculture","0101","Agriculture Business & Management","010103","Agricultural Economics",2019,"2019","01000US","United States",5,"Bachelors Degree",46,"agricultural-economics","Georgia","04000US13","georgia"
"01","Agriculture","0105","Agricultural & Domestic Animal Services","010507","Equestrian Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",8,"equestrian-studies","Georgia","04000US13","georgia"
"01","Agriculture","0106","Applied Horticulture & Horticulture Business Services","010607","Turf & Turfgrass Management",2019,"2019","01000US","United States",5,"Bachelors Degree",24,"turf-turfgrass-management","Georgia","04000US13","georgia"
"01","Agriculture","0108","Agricultural Public Services","010802","Agricultural Communication & Journalism",2019,"2019","01000US","United States",5,"Bachelors Degree",21,"agricultural-communication-journalism","Georgia","04000US13","georgia"
"01","Agriculture","0109","Animal Sciences","010901","General Animal Sciences",2019,"2019","01000US","United States",5,"Bachelors Degree",75,"general-animal-sciences","Georgia","04000US13","georgia"
"01","Agriculture","0109","Animal Sciences","010903","Animal Health",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"animal-health","Georgia","04000US13","georgia"
"01","Agriculture","0109","Animal Sciences","010905","Dairy Science",2019,"2019","01000US","United States",5,"Bachelors Degree",6,"dairy-science","Georgia","04000US13","georgia"
"01","Agriculture","0109","Animal Sciences","010907","Poultry Science",2019,"2019","01000US","United States",5,"Bachelors Degree",27,"poultry-science","Georgia","04000US13","georgia"
"01","Agriculture","0110","Food Science & Technology","011001","Food Science",2019,"2019","01000US","United States",5,"Bachelors Degree",12,"food-science","Georgia","04000US13","georgia"
"01","Agriculture","0111","Plant Sciences","011103","Horticultural Science",2019,"2019","01000US","United States",5,"Bachelors Degree",24,"horticultural-science","Georgia","04000US13","georgia"
"01","Agriculture","0112","Soil Sciences","011201","General Soil Science & Agronomy",2019,"2019","01000US","United States",5,"Bachelors Degree",4,"general-soil-science-agronomy","Georgia","04000US13","georgia"
"01","Agriculture","0199","Other Agriculture Studies","019999","Other Agriculture, Operations, & Related Sciences",2019,"2019","01000US","United States",5,"Bachelors Degree",93,"other-agriculture-operations-related-sciences","Georgia","04000US13","georgia"
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030103","Environmental Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",79,"environmental-studies","Georgia","04000US13","georgia"
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030104","Environmental Science",2019,"2019","01000US","United States",5,"Bachelors Degree",83,"environmental-science","Georgia","04000US13","georgia"
"03","Natural Resources & Conservation","0302","Natural Resource Management & Policy","030207","Natural Resource Recreation & Tourism",2019,"2019","01000US","United States",5,"Bachelors Degree",11,"natural-resource-recreation-tourism","Georgia","04000US13","georgia"
"03","Natural Resources & Conservation","0305","Forestry","030501","General Forestry",2019,"2019","01000US","United States",5,"Bachelors Degree",18,"general-forestry","Georgia","04000US13","georgia"
"03","Natural Resources & Conservation","0305","Forestry","030506","Forest Management",2019,"2019","01000US","United States",5,"Bachelors Degree",33,"forest-management","Georgia","04000US13","georgia"
"03","Natural Resources & Conservation","0306","Wildlife & Wildlands","030601","Wildlife, Fish, & Wildlands Science",2019,"2019","01000US","United States",5,"Bachelors Degree",46,"wildlife-fish-wildlands-science","Georgia","04000US13","georgia"
"04","Architecture and Related Services","0402","Architecture","040201","Architecture",2019,"2019","01000US","United States",5,"Bachelors Degree",54,"architecture-040201","Georgia","04000US13","georgia"
"04","Architecture and Related Services","0406","Landscape Architecture","040601","Landscape Architecture",2019,"2019","01000US","United States",5,"Bachelors Degree",50,"landscape-architecture-040601","Georgia","04000US13","georgia"
"04","Architecture and Related Services","0408","Architectural History & Criticism","040801","General Architectural History & Criticism",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"general-architectural-history-criticism","Georgia","04000US13","georgia"
"04","Architecture and Related Services","0409","Architectural Sciences & Technology","040902","Architectural & Building Sciences & Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",78,"architectural-building-sciences-technology","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050101","African Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",11,"african-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050102","American & U.S. Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",14,"american-us-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050103","Asian Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",7,"asian-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050104","East Asian Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",4,"east-asian-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050107","Latin American Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",9,"latin-american-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050108","Near & Middle Eastern Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",5,"near-middle-eastern-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050110","Russian Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",4,"russian-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050122","Regional Studies (U.S., Canadian, Foreign)",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"regional-studies-us-canadian-foreign","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050123","Chinese Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"chinese-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050124","French Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",16,"french-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050125","German Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",7,"german-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050126","Italian Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"italian-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0501","Area Studies","050134","Latin American & Caribbean Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",6,"latin-american-caribbean-studies","Georgia","04000US13","georgia"
