Date,ConfirmedGrowth,DailyDeaths,DailyHospitalized,DailyTests,Confirmed,Tests,Hospitalized,Deaths,DeathsConfirmed,DeathsProbable,PositivePct,CurrentlyHospitalized,CurrentlyInICU,CurrentlyOnVentilator,Geography,ID Geography,ConfirmedPC,DailyDeathsPC,DeathsPC,DailyTestsPC,TestsPC,DailyHospitalizedPC,HospitalizedPC,ConfirmedGrowthPC,ConfirmedSmooth,ConfirmedPCSmooth,DailyDeathsSmooth,DailyDeathsPCSmooth,DeathsSmooth,DeathsPCSmooth,DailyTestsSmooth,DailyTestsPCSmooth,TestsSmooth,TestsPCSmooth,DailyHospitalizedSmooth,DailyHospitalizedPCSmooth,HospitalizedSmooth,HospitalizedPCSmooth,ConfirmedGrowthSmooth,ConfirmedGrowthPCSmooth,Timestamp
"3/1",8,3,0,95,42,6651,,8,",0",",0",0.6314839873703203,,,,"United States","01000US",0.012837463327149742,0.0009169616662249815,0.0024452311099332842,0.02903711943045775,2.032904014020784,,,0.0024452311099332842,320.75,0.0980384848138876,3.25,0.0009933751384103968,19.125,0.005845630622184257,806.625,0.2465480680062419,9542,2.916549406372925,0.25,0.00007641347218541513,3.375,0.0010315818745031042,81.5,0.02491079193244533,1583038800000
"3/2",30,3,0,203,72,6854,,11,,",0",1.0504814706740588,,,,"United States","01000US",0.022007079989399558,0.0009169616662249815,0.0033621927761582657,0.06204773941455708,2.0949517534353412,,,0.009169616662249816,403,0.12317851716288919,3.3333333333333335,0.0010188462958055351,20.88888888888889,0.006384770120381352,945.3333333333334,0.28894480949044976,10240.777777777777,3.1301335515169586,0.5555555555555556,0.00016980771596758918,4,0.0012226155549666421,106.22222222222223,0.03246723529300305,1583125200000
"3/3",42,3,0,266,114,7133,,14,,",0",1.5982055236225992,,,,"United States","01000US",0.0348445433165493,0.0009169616662249815,0.004279154442383247,0.08130393440528169,2.1802291883942644,,,0.012837463327149742,512.4,0.15661705259122685,3.2,0.0009780924439733137,22.5,0.006877212496687361,1183,0.3615885503813844,11132,3.402539089472165,0.5,0.00015282694437083026,4.5,0.0013754424993374724,139.2,0.04254702131283914,1583211600000
"3/4",62,2,0,329,242,8023,4,16,",0",",0",3.0163280568365947,,,,"United States","01000US",0.07396824107548185,0.0006113077774833211,0.0048904622198665685,0.10056012939600631,2.4522611493743423,,0.0012226155549666421,0.01895054110198295,639.9090909090909,0.1955907020775044,3.4545454545454546,0.0010558952520166455,24.363636363636363,0.007446840198433183,1479.7272727272727,0.4522843951861825,12265.454545454546,3.7489838790022585,0.7272727272727273,0.0002222937372666622,5.181818181818182,0.001583842878024968,164.54545454545453,0.050293958056582315,1583298000000
"3/5",63,4,1,1477,307,9538,5,20,",0",",0",3.2187041308450413,,,,"United States","01000US",0.09383574384368977,0.0012226155549666421,0.00611307777483321,0.4514507936714326,2.915326790817958,0.00030565388874166053,0.0015282694437083026,0.01925619499072461,802.5833333333334,0.24531271687257772,3.9166666666666665,0.0011971443975715037,26.666666666666668,0.00815077036644428,1913.3333333333333,0.5848177737923771,13766.916666666666,4.207911615149046,1.0833333333333333,0.0003311250461367989,6.166666666666667,0.00188486564724024,207.25,0.06334676844170913,1583384400000
"3/6",137,6,1,2100,445,11715,6,26,",0",",0",3.798548868971404,,,,"United States","01000US",0.13601598049003893,0.001833923332449963,0.007947001107283172,0.641873166357487,3.580735306608553,0.00030565388874166053,0.001833923332449963,0.04187458275760749,1006.2307692307693,0.30755834758689704,4,0.0012226155549666421,29,0.008863962773508153,2514.846153846154,0.7686725065100852,15786.076923076924,4.825075799513448,1.4615384615384615,0.0004467249143147346,7.461538461538462,0.002280648246764698,257.3076923076923,0.07864709675698879,1583470800000
"3/7",140,1,0,853,587,12646,6,27,",0",",0",4.641783963308556,,,,"United States","01000US",0.17941883269135472,0.00030565388874166053,0.008252654996024834,0.2607227670966364,3.865299077027039,,0.001833923332449963,0.04279154442383247,1254.0714285714287,0.3833118089026667,4.285714285714286,0.0013099452374642595,31.571428571428573,0.009649929915986708,3036.3571428571427,0.9280743683228033,18217.928571428572,5.568380712674947,1.6428571428571428,0.0005021456743612994,8.857142857142858,0.0027072201574261357,312.2142857142857,0.09542951054927129,1583557200000
"3/8",170,4,0,1130,757,13776,6,31,",0",",0",5.49506387921022,,,,"United States","01000US",0.231379993777437,0.0012226155549666421,0.009475270550991476,0.3453888942780764,4.2106879713051155,,0.001833923332449963,0.051961161086082286,1553,0.4746804892157988,5,0.0015282694437083026,34.8,0.010636755328209785,3514.0666666666666,1.0740881419641113,21005.666666666668,6.420463702277741,2.2,0.0006724385552316531,10.733333333333333,0.0032806850724938228,375.53333333333336,0.11478322368545157,1583643600000
"3/9",304,4,3,2055,1061,15831,9,35,",0",",0",6.702040300675889,,,,"United States","01000US",0.3242987759549018,0.0012226155549666421,0.010697886105958117,0.6281187413641124,4.838806712669228,0.0009169616662249815,0.0027508849986749447,0.0929187821774648,2046.8,0.6256123794764308,6.266666666666667,0.001915431036114406,41.06666666666667,0.012552186364324192,5045.933333333333,1.542309145664503,26105.466666666667,7.97923740408246,2.6,0.0007947001107283173,13.6,0.004156892886886583,488.46666666666664,0.1493017361873431,1583726400000
"3/10",436,2,0,3322,1497,19153,9,37,",0",",0",7.816007936093563,,,,"United States","01000US",0.45756387144626576,0.0006113077774833211,0.011309193883441438,1.0153822183997963,5.854188931069023,,0.0027508849986749447,0.13326509549136398,2680.4666666666667,0.819295060309063,7.666666666666667,0.002343346480352731,48.733333333333334,0.014895532844676922,6816.066666666667,2.0833572825890743,32975.4,10.079059242811752,4.8,0.0014671386659599703,18.666666666666668,0.005705539256510996,628.3333333333334,0.1920525267593434,1583812800000
