ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",58756,711,"Georgia","04000US13","georgia"
2018,"2018",64461,3851,"DeKalb County, GA","05000US13089","dekalb-county-ga"
2018,"2018",70930,1226,"Fulton County, GA","05000US13121","fulton-county-ga"
2018,"2018",65345,2632,"Atlanta, GA","16000US1304000","atlanta-ga"
2018,"2018",69464,1074,"Atlanta-Sandy Springs-Roswell, GA","31000US12060","atlanta-sandy-springs-roswell-ga"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",56183,572,"Georgia","04000US13","georgia"
2017,"2017",61827,2120,"DeKalb County, GA","05000US13089","dekalb-county-ga"
2017,"2017",65037,1921.9999999999998,"Fulton County, GA","05000US13121","fulton-county-ga"
2017,"2017",57597,3481.0000000000005,"Atlanta, GA","16000US1304000","atlanta-ga"
2017,"2017",65381,760,"Atlanta-Sandy Springs-Roswell, GA","31000US12060","atlanta-sandy-springs-roswell-ga"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",53559,710,"Georgia","04000US13","georgia"
2016,"2016",56109,2380,"DeKalb County, GA","05000US13089","dekalb-county-ga"
2016,"2016",63510,2970,"Fulton County, GA","05000US13121","fulton-county-ga"
2016,"2016",53843,2765,"Atlanta, GA","16000US1304000","atlanta-ga"
2016,"2016",62613,890,"Atlanta-Sandy Springs-Roswell, GA","31000US12060","atlanta-sandy-springs-roswell-ga"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",51244,372,"Georgia","04000US13","georgia"
2015,"2015",54057,2666,"DeKalb County, GA","05000US13089","dekalb-county-ga"
2015,"2015",60291,1759.9999999999998,"Fulton County, GA","05000US13121","fulton-county-ga"
2015,"2015",50210,2242,"Atlanta, GA","16000US1304000","atlanta-ga"
2015,"2015",60219,463.99999999999994,"Atlanta-Sandy Springs-Roswell, GA","31000US12060","atlanta-sandy-springs-roswell-ga"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",49321,543,"Georgia","04000US13","georgia"
2014,"2014",50542,1308,"DeKalb County, GA","05000US13089","dekalb-county-ga"
2014,"2014",55807,1746,"Fulton County, GA","05000US13121","fulton-county-ga"
2014,"2014",46777,1621,"Atlanta, GA","16000US1304000","atlanta-ga"
2014,"2014",56166,741,"Atlanta-Sandy Springs-Roswell, GA","31000US12060","atlanta-sandy-springs-roswell-ga"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",47829,628,"Georgia","04000US13","georgia"
2013,"2013",49796,2166,"DeKalb County, GA","05000US13089","dekalb-county-ga"
2013,"2013",55914,1843,"Fulton County, GA","05000US13121","fulton-county-ga"
2013,"2013",46485,2654,"Atlanta, GA","16000US1304000","atlanta-ga"
2013,"2013",55733,675,"Atlanta-Sandy Springs-Roswell, GA","31000US12060","atlanta-sandy-springs-roswell-ga"
