ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2018,"2018",7598669,46912,"United States","01000US","united-states",0.06253009993895664
1,"$10,000-$14,999",2018,"2018",5267344,40230,"United States","01000US","united-states",0.04334542624936862
2,"$15,000-$19,999",2018,"2018",5241202,35766,"United States","01000US","united-states",0.043130301485728544
3,"$20,000-$24,999",2018,"2018",5695642,42544,"United States","01000US","united-states",0.04686992728285952
4,"$25,000-$29,999",2018,"2018",5222981,35428,"United States","01000US","united-states",0.04298035931151517
5,"$30,000-$34,999",2018,"2018",5563253,41130,"United States","01000US","united-states",0.045780486829430304
6,"$35,000-$39,999",2018,"2018",5151740,37565,"United States","01000US","united-states",0.04239411100279805
7,"$40,000-$44,999",2018,"2018",5176218,33265,"United States","01000US","united-states",0.04259554256749784
8,"$45,000-$49,999",2018,"2018",4701684,37127,"United States","01000US","united-states",0.03869056151825977
9,"$50,000-$59,999",2018,"2018",9059982,48107,"United States","01000US","united-states",0.07455537014510677
10,"$60,000-$74,999",2018,"2018",12037965,51619,"United States","01000US","united-states",0.09906144806566283
11,"$75,000-$99,999",2018,"2018",15254871,64508,"United States","01000US","united-states",0.12553364387709104
12,"$100,000-$124,999",2018,"2018",11130018,56888,"United States","01000US","united-states",0.09158987420854708
13,"$125,000-$149,999",2018,"2018",7104900,42113,"United States","01000US","united-states",0.05846683242240095
14,"$150,000-$199,999",2018,"2018",8033342,47072,"United States","01000US","united-states",0.06610706139507035
15,"$200,000+",2018,"2018",9280369,45589,"United States","01000US","united-states",0.0763689536997065
0,"< $10,000",2018,"2018",268881,9261,"Georgia","04000US13","georgia",0.07070211716397425
1,"$10,000-$14,999",2018,"2018",157261,6263,"Georgia","04000US13","georgia",0.04135169702330679
2,"$15,000-$19,999",2018,"2018",170884,7823,"Georgia","04000US13","georgia",0.04493385768964179
3,"$20,000-$24,999",2018,"2018",192147,7233,"Georgia","04000US13","georgia",0.050524952327260605
4,"$25,000-$29,999",2018,"2018",178532,8041,"Georgia","04000US13","georgia",0.04694489525670705
5,"$30,000-$34,999",2018,"2018",183149,7313,"Georgia","04000US13","georgia",0.04815893297207582
6,"$35,000-$39,999",2018,"2018",157073,6613,"Georgia","04000US13","georgia",0.041302262522442734
7,"$40,000-$44,999",2018,"2018",175543,6871,"Georgia","04000US13","georgia",0.04615893928286316
8,"$45,000-$49,999",2018,"2018",154010,7170,"Georgia","04000US13","georgia",0.04049684828762044
9,"$50,000-$59,999",2018,"2018",290492,8802,"Georgia","04000US13","georgia",0.07638471821808608
10,"$60,000-$74,999",2018,"2018",386250,10056,"Georgia","04000US13","georgia",0.10156423382308549
