week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2021-04-17","2021-04-10","04000US13","Georgia",30313,140679,0,0,1618632000000,"April 17th, 2021","04000US13","Georgia"
"2021-04-17","2021-04-10","04000US26","Michigan",21861,100622,0,0,1618632000000,"April 17th, 2021","04000US26","Michigan"
"2021-04-17","2021-04-10","04000US36","New York",41179,403494,0,0,1618632000000,"April 17th, 2021","04000US36","New York"
"2021-04-17","2021-04-10","04000US42","Pennsylvania",21561,211803,0,0,1618632000000,"April 17th, 2021","04000US42","Pennsylvania"
"2021-04-17","2021-04-10","04000US48","Texas",43195,288370,0,0,1618632000000,"April 17th, 2021","04000US48","Texas"
"2021-04-10","2021-04-03","04000US13","Georgia",38382,139056,0,0,1618027200000,"April 10th, 2021","04000US13","Georgia"
"2021-04-10","2021-04-03","04000US26","Michigan",16470,107743,0,0,1618027200000,"April 10th, 2021","04000US26","Michigan"
"2021-04-10","2021-04-03","04000US36","New York",58495,381609,0,0,1618027200000,"April 10th, 2021","04000US36","New York"
"2021-04-10","2021-04-03","04000US42","Pennsylvania",22454,224696,0,0,1618027200000,"April 10th, 2021","04000US42","Pennsylvania"
"2021-04-10","2021-04-03","04000US48","Texas",66552,277388,0,0,1618027200000,"April 10th, 2021","04000US48","Texas"
"2021-04-03","2021-03-27","04000US13","Georgia",33623,137678,4316067,3.19,1617422400000,"April 3rd, 2021","04000US13","Georgia"
"2021-04-03","2021-03-27","04000US26","Michigan",14507,111657,4097261,2.73,1617422400000,"April 3rd, 2021","04000US26","Michigan"
"2021-04-03","2021-03-27","04000US36","New York",42467,367602,9009278,4.08,1617422400000,"April 3rd, 2021","04000US36","New York"
"2021-04-03","2021-03-27","04000US42","Pennsylvania",23360,228084,4994641,4.57,1617422400000,"April 3rd, 2021","04000US42","Pennsylvania"
"2021-04-03","2021-03-27","04000US48","Texas",83988,299526,12180973,2.46,1617422400000,"April 3rd, 2021","04000US48","Texas"
"2021-03-27","2021-03-20","04000US13","Georgia",39282,132821,4316067,3.08,1616817600000,"March 27th, 2021","04000US13","Georgia"
"2021-03-27","2021-03-20","04000US26","Michigan",11143,139441,4097261,3.4,1616817600000,"March 27th, 2021","04000US26","Michigan"
"2021-03-27","2021-03-20","04000US36","New York",39776,368231,9009278,4.09,1616817600000,"March 27th, 2021","04000US36","New York"
"2021-03-27","2021-03-20","04000US42","Pennsylvania",21571,249044,4994641,4.99,1616817600000,"March 27th, 2021","04000US42","Pennsylvania"
"2021-03-27","2021-03-20","04000US48","Texas",87313,320564,12180973,2.63,1616817600000,"March 27th, 2021","04000US48","Texas"
"2021-03-20","2021-03-13","04000US13","Georgia",24789,135962,4316067,3.15,1616212800000,"March 20th, 2021","04000US13","Georgia"
"2021-03-20","2021-03-13","04000US26","Michigan",12765,138528,4097261,3.38,1616212800000,"March 20th, 2021","04000US26","Michigan"
"2021-03-20","2021-03-13","04000US36","New York",35991,393122,9009278,4.36,1616212800000,"March 20th, 2021","04000US36","New York"
"2021-03-20","2021-03-13","04000US42","Pennsylvania",19748,273316,4994641,5.47,1616212800000,"March 20th, 2021","04000US42","Pennsylvania"
"2021-03-20","2021-03-13","04000US48","Texas",81457,296868,12180973,2.44,1616212800000,"March 20th, 2021","04000US48","Texas"
"2021-03-13","2021-03-06","04000US13","Georgia",24700,140830,4316067,3.26,1615611600000,"March 13th, 2021","04000US13","Georgia"
